hc hc 0.0208 2.60017699876
ha ha 0.0161 2.62547852236
hn hn 0.0100 1.10649620793
ho ho 0.0047 0.537924646013
hs hs 0.0124 1.08903459305
hp hp 0.0144 1.07460203382
o o 0.1463 3.04812087425
os os 0.0726 3.15609779888
oh oh 0.0930 3.24287133403
c3 c3 0.1078 3.39770953124
c2 c2 0.0988 3.31521230994
c1 c1 0.1596 3.47895949434
n n 0.1636 3.18086478325
s s 0.2824 3.53241341743
p2 p2 0.2295 3.6940224449
f f 0.0832 3.03422285424
cl cl 0.2638 3.46595237305
br br 0.3932 3.61259430206
i i 0.4955 3.84119891313
n1 n1 0.1098 3.27351824993
n2 n2 0.0941 3.38416787073
n3 n3 0.0858 3.36510263816
na na 0.2042 3.20580994736
nh nh 0.2150 3.18995195017
n+ n+ 0.7828 2.85586493087
n9 n9 0.0095 4.04468018036
h1 h1 0.0208 2.42199725514
h2 h2 0.0208 2.24381751151
h3 h3 0.0208 2.06563776788
hx hx 0.0208 1.88745802425
h4 h4 0.0161 2.53638865055
h5 h5 0.0161 2.44729877873
cx cx 0.1078 3.39770953124
cy cy 0.1078 3.39770953124
c c 0.0988 3.31521230994
cs cs 0.0988 3.31521230994
ca ca 0.0988 3.31521230994
cc cc 0.0988 3.31521230994
cd cd 0.0988 3.31521230994
ce ce 0.0988 3.31521230994
cf cf 0.0988 3.31521230994
cp cp 0.0988 3.31521230994
cq cq 0.0988 3.31521230994
cz cz 0.0988 3.31521230994
cg cg 0.1596 3.47895949434
ch ch 0.1596 3.47895949434
cu cu 0.0988 3.31521230994
cv cv 0.0988 3.31521230994
nb nb 0.0941 3.38416787073
nc nc 0.0941 3.38416787073
nd nd 0.0941 3.38416787073
ne ne 0.0941 3.38416787073
nf nf 0.0941 3.38416787073
no no 0.0858 3.36510263816
n7 n7 0.0522 3.50764643306
n8 n8 0.0323 3.65019022796
n4 n4 3.8748 2.49950544361
nx nx 2.5453 2.58859531543
ny ny 1.6959 2.67768518724
nz nz 1.1450 2.76677505906
ns ns 0.1174 3.26995465506
nt nt 0.0851 3.35904452688
nu nu 0.1545 3.27904182199
nv nv 0.1120 3.3681316938
s2 s2 0.2824 3.53241341743
s4 s4 0.2824 3.53241341743
s6 s6 0.2824 3.53241341743
sx sx 0.2824 3.53241341743
sy sy 0.2824 3.53241341743
sh sh 0.2824 3.53241341743
ss ss 0.2824 3.53241341743
p3 p3 0.2295 3.6940224449
p4 p4 0.2295 3.6940224449
p5 p5 0.2295 3.6940224449
pb pb 0.2295 3.6940224449
px px 0.2295 3.6940224449
py py 0.2295 3.6940224449
pc pc 0.2295 3.6940224449
pd pd 0.2295 3.6940224449
pe pe 0.2295 3.6940224449
pf pf 0.2295 3.6940224449
