c2-ne 498.75 1.292   # SOURCE3_SOURCE5 310 0.0099
c2-nf 498.75 1.292   # SOURCE3_SOURCE5 273 0.0098
c2-nh 345.39 1.387   # SOURCE3_SOURCE5 1559 0.0120
c2-no 276.95 1.448   # SOURCE4_SOURCE5 27 0.0139
c2-o 635.23 1.225   # SOURCE4_SOURCE5 35 0.0033
c2-oh 402.33 1.339   # SOURCE1_SOURCE5 85 0.0126
c2-os 371.26 1.360   # SOURCE1_SOURCE5 548 0.0107
c2-p2 292.48 1.669   # SOURCE3_SOURCE5 87 0.0126
c2-p3 179.93 1.834   # SOURCE3 5 0.0042
c2-p4 186.11 1.822   # SOUECE3 1
c2-p5 166.18 1.863   # SOURCE4_SOURCE5 15 0.0083
c2-pe 275.11 1.689   # SOURCE3_SOURCE5 60 0.0472
c2-pf 275.11 1.689   # SOURCE3_SOURCE5 8 0.0019
c2-s2 362.64 1.610   # SOURCE2 1
c2-s 247.65 1.734   # SOURCE3 4 0.0034
c2-s4 229.42 1.760   # SOUECE3 1
c2-s6 229.42 1.760   # SOUECE3 1
c2-sh 215.23 1.782   # SOURCE4_SOURCE5 13 0.0077
c2-ss 246.19 1.736   # SOURCE1 209 0.0155
c3-c3 232.52 1.538   # SOURCE1_SOURCE5 88072 0.0058
c3-ca 250.32 1.516   # SOURCE1_SOURCE5 10699 0.0054
c3-cc 262.64 1.502   # SOURCE3_SOURCE5 3926 0.0049
c3-cd 262.64 1.502   # SOURCE3_SOURCE5 3926 0.0049
c3-ce 250.06 1.516   # SOURCE3_SOURCE5 1210 0.0060
c3-cf 250.23 1.516   # SOURCE3_SOURCE5 345 0.0071
c3-cl 155.52 1.804   # SOURCE1_SOURCE5 1173 0.0119
c3-cu 284.82 1.478   # SOURCE1 7
c3-cv 274.17 1.489   # SOURCE1 11
c3-cx 247.95 1.518   # SOURCE1_SOURCE5 1561 0.0054
c3-cy 236.93 1.532   # SOURCE1_SOURCE5 522 0.0055
c3-f 352.65 1.350   # SOURCE1_SOURCE5 2188 0.0139
c3-h1 375.92 1.097   # SOURCE3_SOURCE5 112144 0.0055
c3-h2 377.33 1.096   # SOURCE3_SOURCE5 2681 0.0032
c3-h3 379.47 1.095   # SOURCE4_SOURCE5 64 0.0028
c3-hc 375.92 1.097   # SOURCE3_SOURCE5 133628 0.0015
c3-hx 386.49 1.091   # SOURCE3_SOURCE5 6495 0.0022
c3-i 88.97 2.212   # SOURCE1_SOURCE5 35 0.0128
c3-n1 292.28 1.433   # SOURCE3_SOURCE5 7 0.0033
c3-n2 259.91 1.466   # SOURCE1_SOURCE5 816 0.0087
c3-n 263.77 1.462   # SOURCE1_SOURCE5 4576 0.0061
c3-n3 261.19 1.465   # SOURCE1_SOURCE5 15206 0.0039
c3-n4 222.58 1.511   # SOURCE1_SOURCE5 2375 0.0125
c3-na 262.85 1.463   # SOURCE3_SOURCE5 1732 0.0077
c3-nc 269.31 1.456   # SOURCE3 9 0.0109
c3-nd 269.31 1.456   # SOURCE3 9
c3-nh 261.84 1.464   # SOURCE3_SOURCE5 3492 0.0064
c3-no 206.37 1.533   # SOURCE1_SOURCE5 150 0.0187
c3-o 438.11 1.317   # SOURCE4 8 0.0193
c3-oh 293.40 1.423   # SOURCE1_SOURCE5 8884 0.0067
c3-os 284.76 1.432   # SOURCE1_SOURCE5 17971 0.0103
c3-p2 169.71 1.855   # SOURCE3 9 0.0125
c3-p3 168.21 1.858   # SOURCE3_SOURCE5 221 0.0094
c3-p4 177.58 1.839   # SOURCE3_SOURCE5 45 0.0106
c3-p5 177.19 1.839   # SOURCE1_SOURCE5 408 0.0183
c3-px 182.68 1.829   # SOURCE3_SOURCE5 35 0.0083
c3-py 177.09 1.840   # SOURCE3_SOURCE5 39 0.0126
c3-s 180.03 1.845   # SOURCE3 4 0.0185
c3-s4 187.48 1.831   # SOURCE1_SOURCE5 326 0.0096
c3-s6 200.07 1.808   # SOURCE1_SOURCE5 644 0.0143
c3-sh 180.78 1.843   # SOURCE3_SOURCE5 189 0.0058
c3-ss 182.96 1.839   # SOURCE1_SOURCE5 2732 0.0105
c3-sx 181.64 1.842   # SOURCE3_SOURCE5 99 0.0121
c3-sy 199.39 1.809   # SOURCE3_SOURCE5 162 0.0094
ca-ca 378.57 1.398   # SOURCE1_SOURCE5 121206 0.0061
ca-cc 308.19 1.456   # SOURCE1_SOURCE5 2424 0.0121
