hw-ow-hw 43.276 104.520   # AMBER 1 TIP3P_water
c2-c2-n4 83.421 121.520   # SOURCE3 5 1.2656
c2-c2-n 86.693 123.670   # SOURCE4_SOURCE5 48 1.8326
c2-c2-na 87.232 121.940   # SOURCE3_SOURCE5 35 5.4059
c2-c2-nh 86.653 124.990   # SOURCE3 7 0.9929
c2-c2-no 85.060 123.460   # SOURCE4_SOURCE5 26 1.6311
c2-c2-o 89.793 130.890   # SOURCE3 2 0.0201
c2-c2-oh 89.312 122.170   # SOURCE4_SOURCE5 18 1.1206
c2-c2-os 88.706 121.870   # SOURCE4_SOURCE5 114 1.6810
c2-c2-p2 88.516 115.100   # SOURCE3 1
c2-c2-p3 78.573 124.830   # SOURCE3 5 2.1222
c2-c2-p4 80.685 119.760   # SOURCE3 1
c2-c2-p5 77.141 125.970   # SOURCE3 1
c2-c2-s4 64.747 119.840   # SOURCE3 1
c2-c2-s6 64.702 120.010   # SOURCE3 1
c2-c2-s 63.092 129.370   # SOURCE3 2
c2-c2-sh 62.559 125.700   # SOURCE3 3 1.3390
c2-c2-ss 64.815 122.350   # SOURCE4_SOURCE5 54 2.2017
c3-c2-c3 64.898 115.650   # SOURCE3_SOURCE5 1743 1.5647
c3-c2-cc 65.283 125.190   # CORR_SOURCE5 50 1.5929
c3-c2-cd 65.283 125.190   # CORR_SOURCE5 50 1.5929
c3-c2-ce 66.056 123.150   # CORR_SOURCE5 2644 2.0746
c3-c2-cf 66.056 123.150   # CORR_SOURCE5 2644 2.0746
c3-c2-h4 45.760 119.020   # SOURCE4_SOURCE5 63 1.6077
c3-c2-ha 46.411 115.680   # SOURCE3_SOURCE5 3991 1.1961
c3-c2-hc 45.572 120.000   # SOURCE3 1
c3-c2-n2 83.960 123.430   # SOURCE4_SOURCE5 388 2.3609
c3-c2-n 84.414 114.800   # SOURCE4 12 1.8112
c3-c2-na 83.495 117.200   # SOURCE3_SOURCE5 5 0.8937
c3-c2-ne 84.706 120.710   # SOURCE3_SOURCE5 11 0.9157
c3-c2-nf 84.706 120.710   # SOURCE3_SOURCE5 7 1.3134
c3-c2-nh 84.195 116.210   # SOURCE3_SOURCE5 339 2.4814
c3-c2-o 85.206 122.820   # SOURCE4_SOURCE5 12 1.1220
c3-c2-oh 85.711 115.160   # SOURCE4_SOURCE5 90 2.0675
c3-c2-os 86.117 112.800   # SOURCE4_SOURCE5 148 2.4217
c3-c2-p2 82.609 122.740   # SOURCE3 2
c3-c2-s 64.740 115.440   # SOURCE3 2 0.0115
c3-c2-ss 63.539 119.660   # SOURCE4_SOURCE5 137 2.1299
ca-c2-ca 70.080 117.880   # SOURCE3 1
ca-c2-hc 48.375 123.300   # SOURCE3 1
c-c2-c2 69.891 120.700   # SOURCE3 1
c-c2-c3 65.889 119.700   # SOURCE3 1
c-c2-c 68.722 118.880   # SOURCE3 1
cc-c2-h4 49.786 119.850   # SOURCE4_SOURCE5 23 0.5829
cc-c2-ha 50.004 118.750   # SOURCE3_SOURCE5 72 1.1667
cc-c2-nh 86.562 123.120   # SOURCE4_SOURCE5 27 1.0384
cc-c2-o 91.352 123.590   # SOURCE4_SOURCE5 12 0.0560
cd-c2-ha 50.004 118.750   # SOURCE3_SOURCE5 72 1.1667
ce-c2-cl 72.107 123.470   # SOURCE4_SOURCE5 41 0.8440
ce-c2-h4 49.654 122.310   # SOURCE4_SOURCE5 220 1.5462
ce-c2-ha 50.024 120.450   # SOURCE3_SOURCE5 2139 1.1520
ce-c2-na 86.108 124.170   # SOURCE4_SOURCE5 12 1.9766
ce-c2-nh 87.822 120.710   # SOURCE4_SOURCE5 243 2.3407
ce-c2-no 86.097 119.650   # SOURCE4_SOURCE5 10 0.9817
ce-c2-o 91.992 123.370   # SOURCE4_SOURCE5 14 0.7592
ce-c2-oh 88.571 123.130   # SOURCE4_SOURCE5 104 1.7734
ce-c2-os 87.995 122.800   # SOURCE4_SOURCE5 149 2.3406
cf-c2-ha 50.024 120.450   # SOURCE3_SOURCE5 2017 1.1895
c-c2-ha 48.160 121.330   # SOURCE3 4 0.2462
c-c2-hc 48.494 119.700   # SOURCE3 1
cl-c2-cl 82.957 114.340   # SOURCE4_SOURCE5 29 0.6417
cl-c2-h4 49.503 113.540   # SOURCE4_SOURCE5 33 0.7337
cl-c2-ha 49.579 113.200   # SOURCE3 1
cx-c2-ha 47.006 116.150   # SOURCE4_SOURCE5 64 0.8729
f-c2-f 120.199 111.640   # SOURCE2_SOURCE5 12 0.8567
f-c2-ha 66.780 110.000   # SOURCE2 1
h4-c2-n2 64.810 120.990   # SOURCE4_SOURCE5 77 1.9305
h4-c2-n 62.621 113.440   # SOURCE4_SOURCE5 78 1.0580
h4-c2-na 62.675 112.970   # SOURCE4_SOURCE5 27 0.6876
h4-c2-ne 64.858 119.510   # SOURCE4_SOURCE5 52 1.6395
h4-c2-nh 62.613 115.080   # SOURCE4_SOURCE5 109 1.1974
h4-c2-no 60.883 113.380   # SOURCE4_SOURCE5 20 0.1373
h4-c2-os 63.989 113.730   # SOURCE3_SOURCE5 89 1.3113
h4-c2-ss 43.595 116.670   # SOURCE3_SOURCE5 49 1.4612
h5-c2-n2 64.543 121.700   # SOURCE4_SOURCE5 71 2.1538
h5-c2-na 59.208 126.390   # SOURCE3 4 0.3299
h5-c2-ne 64.691 119.850   # SOURCE4_SOURCE5 44 1.3576
h5-c2-nh 62.882 113.910   # SOURCE4_SOURCE5 119 0.8516
ha-c2-ha 37.684 116.900   # SOURCE3_SOURCE5 1456 0.6313
ha-c2-n1 63.987 120.760   # SOURCE3 8 0.6632
ha-c2-n2 64.911 120.540   # SOURCE3 92 1.4571
ha-c2-n3 64.744 113.540   # SOURCE3 1
ha-c2-n 62.620 113.400   # SOURCE3 4 1.2182
ha-c2-na 62.816 112.420   # SOURCE3 8 0.6507
ha-c2-ne 64.391 121.180   # SOURCE3 68 0.6824
ha-c2-nf 64.391 121.180   # SOURCE3 68
ha-c2-nh 62.169 116.680   # SOURCE3 13 2.5734
ha-c2-no 61.209 112.140   # SOURCE3 2 0.0264
ha-c2-o 67.875 117.230   # SOURCE3 2 0.0201
ha-c2-oh 64.058 116.180   # SOURCE3 2
ha-c2-os 64.269 112.690   # SOURCE3 13 2.5851
ha-c2-p2 57.111 121.480   # SOURCE3 122 0.4329
ha-c2-p3 53.276 114.310   # SOURCE3 3
ha-c2-p4 52.849 117.860   # SOURCE3 1
ha-c2-p5 51.984 116.000   # SOURCE3_SOURCE5 6 0.1220
ha-c2-pe 56.443 121.400   # SOURCE3_SOURCE5 119 0.8904
ha-c2-pf 56.443 121.400   # SOURCE3_SOURCE5 15 1.6416
ha-c2-s2 46.632 118.740   # SOURCE3 2
ha-c2-s4 43.223 115.300   # SOURCE3 2
ha-c2-s 43.832 115.700   # SOURCE3 2
ha-c2-s6 42.982 116.600   # SOURCE3 2
ha-c2-sh 43.327 111.740   # SOURCE3 1
ha-c2-ss 43.588 116.720   # SOURCE3 7 2.7543
hc-c2-hc 37.394 118.920   # SOURCE3 1
hc-c2-n2 64.965 120.400   # SOURCE3 1
hc-c2-n 62.454 114.040   # SOURCE3 1
hc-c2-na 61.038 119.100   # SOURCE3 1
hc-c2-nh 63.084 113.360   # SOURCE3 1
hc-c2-no 61.222 112.120   # SOURCE3 1
hc-c2-oh 64.060 116.220   # SOURCE3 1
hc-c2-os 63.327 116.110   # SOURCE3 1
hc-c2-p3 52.613 117.190   # SOURCE3 1
hc-c2-p5 51.195 119.580   # SOURCE3 1
hc-c2-s4 43.068 116.120   # SOURCE3 1
hc-c2-s6 43.193 115.450   # SOURCE3 1
hc-c2-sh 42.589 115.630   # SOURCE3 1
hc-c2-ss 43.793 115.620   # SOURCE3 1
hx-c2-n4 58.717 113.030   # SOURCE3 3 0.3873
i-c2-i 66.122 117.940   # SOURCE3 1
n1-c2-n1 113.528 124.150   # HF/6-31G* 1
n2-c2-n2 120.816 113.820   # SOURCE3 1
n2-c2-n4 109.745 112.970   # SOURCE4_SOURCE5 13 0.4034
n2-c2-na 110.312 123.620   # SOURCE3 1
n2-c2-nh 110.708 124.270   # SOURCE3 12 2.4114
n2-c2-oh 114.021 122.080   # SOURCE3 1
n2-c2-os 114.100 119.780   # SOURCE4_SOURCE5 55 1.3881
n2-c2-ss 79.299 129.770   # SOURCE3 1
n3-c2-n3 113.269 118.470   # SOURCE3 1
n4-c2-n4 102.331 113.930   # SOURCE3 1
n4-c2-ss 80.666 116.270   # SOURCE4_SOURCE5 14 2.4226
na-c2-na 112.735 109.330   # SOURCE3 3 3.0187
ne-c2-nh 110.728 123.460   # CORR_SOURCE5 241 2.3941
ne-c2-os 114.213 118.760   # SOURCE4 5 0.3382
ne-c2-ss 82.205 120.510   # SOURCE4_SOURCE5 32 2.1160
nf-c2-nh 110.728 123.460   # CORR_SOURCE5 241 2.3941
nh-c2-nh 112.122 112.820   # SOURCE4_SOURCE5 689 1.9577
nh-c2-oh 111.944 117.110   # SOURCE4_SOURCE5 15 0.8639
nh-c2-os 112.490 114.300   # SOURCE4_SOURCE5 50 1.3395
nh-c2-ss 84.343 111.550   # SOURCE4 37 1.1778
n-c2-n2 110.772 122.820   # SOURCE3_SOURCE5 46 2.2661
n-c2-n 110.943 113.230   # SOURCE3 1
n-c2-na 114.893 105.420   # SOURCE3 1
n-c2-ne 109.323 125.340   # SOURCE4_SOURCE5 25 1.6082
n-c2-nh 113.384 109.350   # SOURCE4_SOURCE5 61 1.6924
no-c2-no 106.896 113.900   # SOURCE3 1
n-c2-ss 84.310 111.190   # SOURCE4_SOURCE5 24 0.6195
oh-c2-oh 115.431 114.330   # SOURCE3 1
o-c2-o 122.282 121.690   # SOURCE3 1
o-c2-oh 116.614 121.230   # SOURCE4_SOURCE5 12 0.0958
o-c2-s 80.412 127.680   # SOURCE3 2 0.0547
os-c2-os 113.284 115.050   # SOURCE3_SOURCE5 6 1.2203
p2-c2-p2 106.670 129.800   # SOURCE3 1
p3-c2-p3 102.865 115.540   # SOURCE3 1
p5-c2-p5 98.628 121.850   # SOURCE3 1
s4-c2-s4 63.778 120.320   # SOURCE3 1
s4-c2-s6 63.877 119.950   # SOURCE3 1
s6-c2-s6 63.871 119.970   # SOURCE3 1
sh-c2-sh 65.736 110.480   # SOURCE3 1
sh-c2-ss 64.466 117.820   # SOURCE3 1
s-c2-s 64.374 121.670   # SOURCE3 1
ss-c2-ss 65.740 116.400   # SOURCE3_SOURCE5 22 2.3993
br-c3-br 67.612 109.740   # SOURCE4_SOURCE5 24 0.9971
br-c3-c1 63.834 111.800   # SOURCE2 3 0.2160
br-c3-c3 63.860 110.010   # SOURCE3_SOURCE5 216 1.1568
br-c3-c 64.284 108.920   # SOURCE4_SOURCE5 35 2.3703
br-c3-h1 42.433 105.070   # SOURCE3_SOURCE5 175 0.8275
br-c3-h2 42.082 106.800   # SOURCE4_SOURCE5 25 0.8044
br-c3-hc 42.147 106.500   # SOURCE3 1
c1-c3-c1 68.433 110.110   # SOURCE2_SOURCE5 11 0.3454
c1-c3-c2 67.184 110.920   # SOURCE4_SOURCE5 35 0.5903
c1-c3-c3 66.276 111.710   # SOURCE4_SOURCE5 624 1.1320
c1-c3-ca 67.047 110.890   # SOURCE4_SOURCE5 78 1.1306
c1-c3-cc 66.403 114.190   # CORR_SOURCE5 15 0.1283
c1-c3-cd 66.403 114.190   # CORR_SOURCE5 15 0.1283
c1-c3-cl 72.363 110.630   # SOURCE2 3 1.2257
c1-c3-h1 48.917 109.240   # SOURCE4_SOURCE5 436 0.5758
c1-c3-hc 48.879 109.410   # SOURCE3_SOURCE5 495 0.5104
c1-c3-hx 48.339 112.040   # SOURCE4_SOURCE5 52 0.3815
c1-c3-n3 84.763 112.730   # SOURCE4_SOURCE5 99 0.7675
c1-c3-n4 83.658 112.060   # SOURCE4_SOURCE5 25 0.5395
c1-c3-n 84.975 112.380   # SOURCE4_SOURCE5 55 0.9540
c1-c3-nh 84.843 112.570   # SOURCE4_SOURCE5 21 0.9525
c1-c3-oh 87.220 109.440   # SOURCE4_SOURCE5 127 0.9878
c1-c3-os 87.159 109.000   # SOURCE4_SOURCE5 87 0.9531
c2-c3-c2 65.947 112.000   # SOURCE4_SOURCE5 453 0.8153
c2-c3-c3 65.459 111.560   # SOURCE4_SOURCE5 9345 1.7373
c2-c3-ca 65.670 112.490   # SOURCE4_SOURCE5 475 1.6791
c2-c3-cc 66.148 111.910   # CORR_SOURCE5 65 1.7402
c2-c3-cd 66.148 111.910   # CORR_SOURCE5 65 1.7402
c2-c3-ce 65.863 111.810   # CORR_SOURCE5 85 1.8411
c2-c3-cf 65.867 111.810   # CORR_SOURCE5 85 1.8411
c2-c3-cl 71.864 110.510   # SOURCE4_SOURCE5 60 1.4762
c2-c3-cx 65.673 112.270   # SOURCE4_SOURCE5 76 1.2985
c2-c3-cy 68.713 101.630   # SOURCE4_SOURCE5 164 1.0542
c2-c3-f 88.392 110.760   # SOURCE4_SOURCE5 69 0.5776
c2-c3-h1 47.561 109.960   # SOURCE3_SOURCE5 2169 0.9645
c2-c3-h2 47.195 111.690   # SOURCE4_SOURCE5 49 0.9061
c2-c3-hc 47.475 110.360   # SOURCE3_SOURCE5 11033 0.8531
c2-c3-hx 47.293 111.340   # SOURCE4_SOURCE5 56 0.8089
c2-c3-n2 85.005 108.720   # SOURCE4_SOURCE5 36 1.3485
c2-c3-n3 84.006 111.420   # SOURCE4_SOURCE5 447 1.5436
c2-c3-n 84.129 111.290   # SOURCE4_SOURCE5 180 1.8899
c2-c3-na 83.365 113.270   # SOURCE4_SOURCE5 78 1.2929
c2-c3-nh 84.408 110.410   # SOURCE4_SOURCE5 134 1.7670
c2-c3-oh 85.495 110.350   # SOURCE4_SOURCE5 793 1.4429
