hw-ow-hw 43.276 104.520   # AMBER 1 TIP3P_water
c2-cd-c3 65.262 126.110   # SOURCE3 2
c2-cd-ca 66.952 124.420   # CORR_SOURCE5 25 1.8245
c2-cd-cc 71.286 117.020   # SOURCE3 2
c2-cd-cd 68.308 122.190   # CORR_SOURCE5 46 2.3853
c2-cd-ha 49.231 122.720   # SOURCE3 2
c2-cd-n 86.150 124.910   # SOURCE3_SOURCE5 5 1.6803
c2-cd-os 87.991 121.420   # CORR_SOURCE5 24 0.9570
c3-cd-ca 63.318 126.520   # CORR_SOURCE5 370 1.8946
c3-cd-cc 66.802 119.450   # SOURCE3 35 8.2040
c3-cd-cd 66.709 115.970   # SOURCE3 4 3.0507
c3-cd-ce 67.395 117.840   # CORR 2
c3-cd-ha 45.517 121.520   # SOURCE3 32 3.2091
c3-cd-n2 83.336 125.690   # CORR_SOURCE5 12 1.9935
c3-cd-n 83.558 119.190   # CORR_SOURCE5 107 2.1078
c3-cd-na 82.356 122.730   # CORR_SOURCE5 961 1.6482
c3-cd-nc 83.886 122.410   # CORR_SOURCE5 653 1.6992
c3-cd-nd 83.215 120.950   # CORR_SOURCE5 456 0.8756
c3-cd-os 84.855 116.800   # CORR_SOURCE5 306 0.8990
c3-cd-ss 62.656 121.530   # CORR_SOURCE5 270 1.0948
ca-cd-cc 69.802 113.510   # SOURCE3 26 7.4229
ca-cd-cd 69.336 111.040   # SOURCE3 9 7.9455
ca-cd-ce 66.694 124.900   # SOURCE4_SOURCE5 41 1.7178
ca-cd-h4 45.368 129.250   # SOURCE3_SOURCE5 54 1.5632
ca-cd-ha 46.300 124.040   # SOURCE3 34 3.6691
ca-cd-n 85.642 117.670   # CORR 18
ca-cd-na 83.626 123.450   # SOURCE4 39 1.9138
ca-cd-nc 85.294 123.240   # CORR_SOURCE5 246 2.3557
ca-cd-nd 84.897 120.590   # CORR_SOURCE5 224 1.0853
ca-cd-oh 86.577 117.550   # CORR_SOURCE5 35 1.9318
ca-cd-os 87.229 114.750   # CORR_SOURCE5 247 2.0579
ca-cd-ss 63.408 120.800   # CORR_SOURCE5 80 2.1212
c-cd-c2 67.513 121.170   # CORR_SOURCE5 28 1.6484
c-cd-c3 65.378 117.760   # CORR_SOURCE5 566 1.9588
c-cd-c 65.240 121.070   # CORR_SOURCE5 128 0.8902
c-cd-ca 65.005 122.950   # SOURCE3 1
c-cd-cc 67.187 121.350   # CORR_SOURCE5 3554 2.2084
cc-cd-cc 70.027 120.080   # CORR_SOURCE5 119 1.6139
cc-cd-cd 70.348 114.190   # SOURCE3 517 6.5960
cc-cd-cf 65.759 128.050   # CORR_SOURCE5 350 2.4628
cc-cd-ch 67.080 125.790   # SOURCE4_SOURCE5 84 1.6445
cc-cd-cl 71.687 123.410   # CORR_SOURCE5 115 2.1217
cc-cd-cy 65.987 122.050   # SOURCE4_SOURCE5 22 0.8483
c-cd-cd 65.674 122.690   # SOURCE3 2
c-cd-cf 65.406 121.570   # CORR_SOURCE5 29 1.1305
cc-cd-h4 47.759 128.480   # SOURCE3_SOURCE5 3291 2.3189
cc-cd-ha 49.040 121.760   # SOURCE3_SOURCE5 4433 1.8701
c-cd-cl 72.591 116.380   # CORR_SOURCE5 50 1.2099
cc-cd-n 86.990 121.330   # SOURCE3_SOURCE5 821 1.9126
cc-cd-na 92.653 106.990   # SOURCE3_SOURCE5 3003 2.3845
cc-cd-nc 88.069 123.820   # SOURCE4_SOURCE5 28 0.3678
cc-cd-nd 91.057 111.650   # CORR_SOURCE5 1656 1.8430
cc-cd-nh 86.331 123.840   # CORR_SOURCE5 152 2.2360
cc-cd-oh 87.177 123.780   # CORR_SOURCE5 251 1.1988
cc-cd-os 87.957 120.300   # SOURCE3 64 5.4354
cc-cd-ss 66.887 111.550   # CORR_SOURCE5 1048 1.8648
cc-cd-sy 62.501 124.550   # CORR_SOURCE5 56 1.7107
cd-cd-cd 70.129 110.700   # SOURCE3 54 3.4091
cd-cd-ce 68.022 122.720   # CORR_SOURCE5 66 1.9701
cd-cd-cf 64.853 127.060   # CORR_SOURCE5 61 2.3233
cd-cd-ch 65.805 125.910   # CORR_SOURCE5 41 1.1646
cd-cd-cy 64.938 122.040   # SOURCE4_SOURCE5 13 0.6868
cd-cd-h4 46.348 127.960   # SOURCE3_SOURCE5 391 2.1732
cd-cd-ha 47.634 121.070   # CORR_SOURCE5 2414 2.2010
cd-cd-n2 87.356 122.210   # CORR_SOURCE5 37 1.6493
cd-cd-n 85.753 119.890   # SOURCE3 36 0.2095
cd-cd-na 86.536 117.770   # SOURCE3_SOURCE5 832 1.6037
cd-cd-nc 90.306 112.560   # SOURCE3 141 4.2871
cd-cd-nd 85.332 121.980   # CORR_SOURCE5 141 1.9633
cd-cd-nh 86.018 119.720   # CORR_SOURCE5 348 1.7785
cd-cd-oh 86.201 121.270   # CORR_SOURCE5 11 2.2744
cd-cd-os 87.213 117.340   # CORR_SOURCE5 217 1.9304
cd-cd-pc 84.517 115.360   # SOURCE3 84 3.2889
cd-cd-ss 63.877 120.210   # CORR_SOURCE5 52 2.1160
ce-cd-nd 86.641 123.980   # SOURCE4_SOURCE5 10 2.4097
cf-cd-na 83.371 124.350   # CORR_SOURCE5 87 1.3591
cf-cd-nc 85.887 121.700   # CORR_SOURCE5 58 1.4179
cf-cd-nd 84.769 121.100   # CORR_SOURCE5 43 1.2959
cf-cd-os 85.796 118.760   # CORR_SOURCE5 92 1.3159
cf-cd-ss 63.222 121.580   # CORR_SOURCE5 54 1.3126
c-cd-h4 47.105 118.190   # SOURCE4_SOURCE5 16 0.2226
c-cd-ha 47.405 116.640   # SOURCE3_SOURCE5 896 1.3075
cl-cd-nc 90.963 122.070   # CORR_SOURCE5 19 1.6973
c-cd-n2 85.228 123.930   # CORR_SOURCE5 6 0.0993
c-cd-n 85.713 116.370   # CORR_SOURCE5 41 2.4875
c-cd-nc 85.323 121.880   # CORR_SOURCE5 54 2.0672
c-cd-nd 83.549 123.320   # CORR_SOURCE5 27 2.2025
c-cd-oh 87.608 113.660   # CORR_SOURCE5 190 1.6462
c-cd-os 85.149 119.260   # CORR_SOURCE5 104 2.4145
h4-cd-n 62.742 115.690   # SOURCE3_SOURCE5 425 0.9142
h4-cd-na 61.487 120.530   # SOURCE3_SOURCE5 1801 1.3882
h4-cd-nc 64.296 118.470   # SOURCE3_SOURCE5 435 1.3360
h4-cd-nd 61.716 121.140   # SOURCE3_SOURCE5 574 0.5658
h4-cd-os 63.640 114.900   # SOURCE3_SOURCE5 456 0.8638
h4-cd-ss 42.456 119.970   # SOURCE3_SOURCE5 496 0.7119
h5-cd-n 62.738 115.700   # CORR_SOURCE5 41 0.7665
h5-cd-na 61.227 121.550   # SOURCE3_SOURCE5 1138 0.7136
h5-cd-nc 62.462 125.520   # SOURCE3_SOURCE5 1309 0.7276
h5-cd-nd 61.266 122.920   # SOURCE3_SOURCE5 136 0.3532
h5-cd-os 63.111 116.830   # SOURCE3_SOURCE5 42 1.3051
h5-cd-ss 42.271 121.020   # SOURCE3_SOURCE5 46 0.6462
ha-cd-na 61.218 121.500   # SOURCE2 1
ha-cd-nc 64.154 118.880   # SOURCE3 20 2.8923
ha-cd-nd 62.898 116.540   # SOURCE3 5 1.4482
ha-cd-os 64.764 110.860   # SOURCE3 7 1.3846
ha-cd-pc 54.856 121.760   # SOURCE3 84 2.2216
ha-cd-ss 42.168 121.640   # SOURCE2 5
na-cd-nc 115.504 112.220   # SOURCE3_SOURCE5 2726 1.5103
na-cd-nd 108.812 121.950   # CORR_SOURCE5 321 1.6221
na-cd-nh 110.794 117.280   # SOURCE4_SOURCE5 100 1.6359
na-cd-ss 83.703 111.460   # SOURCE4 20 0.8600
nc-cd-nd 114.185 115.830   # CORR_SOURCE5 309 1.2424
nc-cd-nh 111.697 120.650   # SOURCE3_SOURCE5 554 1.6769
nc-cd-oh 112.660 121.120   # CORR_SOURCE5 31 1.3923
nc-cd-os 114.076 116.740   # CORR_SOURCE5 156 2.0183
nc-cd-ss 83.264 114.510   # SOURCE3 8 0.3449
nd-cd-nd 107.603 125.700   # SOURCE4_SOURCE5 31 0.5900
nd-cd-nh 111.255 117.230   # CORR_SOURCE5 51 1.7463
nd-cd-ss 79.922 122.640   # SOURCE3_SOURCE5 10 1.3100
nh-cd-nh 111.696 115.960   # SOURCE3 1
nh-cd-os 111.815 116.680   # CORR_SOURCE5 36 0.7439
nh-cd-ss 80.147 121.810   # CORR_SOURCE5 128 1.0728
n-cd-na 108.295 122.120   # CORR_SOURCE5 15 1.1276
n-cd-nc 110.304 123.000   # CORR_SOURCE5 354 1.4352
n-cd-nd 106.932 126.230   # CORR_SOURCE5 118 0.4381
n-cd-nh 110.935 116.940   # CORR_SOURCE5 126 0.5956
n-cd-ss 79.713 122.880   # CORR_SOURCE5 82 1.5666
oh-cd-os 115.442 111.610   # SOURCE4_SOURCE5 12 1.1909
os-cd-ss 81.124 119.280   # SOURCE3_SOURCE5 10 1.6753
ss-cd-ss 63.639 121.370   # CORR 22
ss-cd-sy 63.048 121.700   # CORR_SOURCE5 43 0.4842
c2-ce-c3 66.042 122.530   # SOURCE3_SOURCE5 882 1.9288
c2-ce-ca 67.362 121.780   # SOURCE3_SOURCE5 11 1.7099
c2-ce-cc 67.560 123.320   # CORR_SOURCE5 132 1.9068
c2-ce-ce 67.482 123.260   # SOURCE3_SOURCE5 791 1.8772
c2-ce-cg 68.647 122.090   # CORR_SOURCE5 54 1.3612
c2-ce-cl 72.080 119.760   # SOURCE4_SOURCE5 62 1.3986
c2-ce-h4 49.154 124.550   # SOURCE4_SOURCE5 43 1.6498
c2-ce-ha 50.126 119.940   # SOURCE3_SOURCE5 1439 1.4338
c2-ce-n1 91.289 118.230   # SOURCE4_SOURCE5 18 0.9047
c2-ce-n2 88.228 128.700   # SOURCE3 1
c2-ce-na 87.216 119.190   # SOURCE4_SOURCE5 10 0.8452
c2-ce-ne 88.464 118.320   # SOURCE3 7 1.0468
c2-ce-oh 87.984 123.700   # SOURCE4_SOURCE5 27 1.7525
c2-ce-p2 81.422 118.240   # SOURCE3 1
c2-ce-pe 81.089 118.760   # SOURCE3 8 2.3984
c2-ce-px 80.647 119.720   # SOURCE3 6 0.5213
c2-ce-py 80.419 122.180   # SOURCE3_SOURCE5 12 1.9482
c2-ce-sx 63.052 119.210   # SOURCE3_SOURCE5 14 0.9863
c2-ce-sy 63.705 120.200   # SOURCE3_SOURCE5 17 1.3599
c3-ce-ca 64.464 119.240   # CORR_SOURCE5 312 1.7689
c3-ce-cc 65.246 118.030   # CORR_SOURCE5 77 1.5840
c3-ce-ce 65.430 117.120   # CORR_SOURCE5 524 1.4790
c3-ce-cf 65.999 122.380   # CORR_SOURCE5 490 2.0752
c3-ce-cg 66.008 117.220   # SOURCE4_SOURCE5 34 1.7153
c3-ce-n2 83.839 122.730   # CORR_SOURCE5 149 1.8752
c3-ce-nf 84.370 120.680   # SOURCE4_SOURCE5 13 2.1196
c3-ce-nh 82.726 119.560   # SOURCE4_SOURCE5 10 1.0079
ca-ce-ca 65.741 117.830   # CORR_SOURCE5 210 0.9675
ca-ce-cc 66.149 118.130   # CORR_SOURCE5 30 0.7112
ca-ce-ce 65.684 119.540   # SOURCE4_SOURCE5 32 1.9209
ca-ce-cf 65.738 127.520   # CORR_SOURCE5 599 1.6916
ca-ce-cl 72.181 114.590   # SOURCE4_SOURCE5 14 1.1195
ca-ce-h4 47.047 116.990   # SOURCE4_SOURCE5 255 1.0051
ca-ce-ha 47.444 115.130   # CORR_SOURCE5 720 0.9389
ca-ce-n2 86.084 120.720   # SOURCE3 1
ca-ce-nf 85.534 121.710   # CORR_SOURCE5 49 2.1313
ca-ce-nh 85.466 115.580   # SOURCE4_SOURCE5 240 1.0372
ca-ce-oh 86.291 116.100   # CORR_SOURCE5 15 0.6417
ca-ce-os 85.838 115.910   # SOURCE4_SOURCE5 25 1.4247
ca-ce-ss 63.378 117.520   # SOURCE4_SOURCE5 14 1.2435
c-ce-c2 67.566 120.420   # SOURCE3 13 1.8877
c-ce-c3 64.889 117.220   # CORR_SOURCE5 558 2.2754
c-ce-c 64.277 122.230   # CORR_SOURCE5 52 2.1518
c-ce-ca 65.478 118.280   # SOURCE4_SOURCE5 25 1.6999
cc-ce-cd 65.259 130.610   # SOURCE4_SOURCE5 24 1.1422
cc-ce-cf 66.704 126.140   # CORR_SOURCE5 122 1.8142
c-ce-cd 67.092 120.770   # CORR_SOURCE5 15 1.8896
c-ce-ce 65.150 120.980   # SOURCE4_SOURCE5 53 2.2319
c-ce-cf 65.856 126.410   # SOURCE3 2 5.7847
c-ce-cg 66.500 118.420   # SOURCE4_SOURCE5 49 1.0600
cc-ce-h4 47.935 115.680   # SOURCE4_SOURCE5 77 0.8454
cc-ce-ha 48.006 115.440   # CORR_SOURCE5 179 0.9381
c-ce-cl 71.821 115.470   # SOURCE4_SOURCE5 25 1.2041
cc-ce-n2 86.868 120.960   # CORR_SOURCE5 102 2.2421
cc-ce-nh 85.299 118.050   # SOURCE4_SOURCE5 21 1.8052
c-ce-cy 74.704 88.440   # SOURCE4_SOURCE5 53 0.9126
cd-ce-ce 66.791 124.350   # CORR_SOURCE5 18 1.4583
cd-ce-ha 50.638 114.950   # CORR_SOURCE5 95 1.4175
ce-ce-ce 65.416 122.110   # SOURCE3_SOURCE5 9 2.4680
ce-ce-cf 67.119 124.240   # CORR_SOURCE5 866 1.6941
ce-ce-cl 71.617 117.220   # SOURCE4_SOURCE5 35 0.8344
ce-ce-h4 47.341 118.130   # CORR_SOURCE5 44 1.1161
ce-ce-ha 47.662 116.650   # SOURCE3_SOURCE5 1159 0.9686
ce-ce-n1 84.049 127.150   # CORR 4
ce-ce-n2 87.472 118.930   # CORR_SOURCE5 13 1.3210
ce-ce-oh 86.685 116.850   # SOURCE4_SOURCE5 30 1.7182
cf-ce-cg 68.252 123.130   # CORR_SOURCE5 115 2.1292
cf-ce-cy 62.247 137.580   # SOURCE4_SOURCE5 31 0.9919
cf-ce-h4 49.339 122.950   # SOURCE4_SOURCE5 23 1.1580
cf-ce-ha 50.352 118.220   # CORR_SOURCE5 1522 1.3445
cf-ce-n1 90.464 119.940   # SOURCE4_SOURCE5 13 1.8896
cf-ce-n 91.197 108.390   # CORR_SOURCE5 86 1.0066
cf-ce-nh 87.337 121.380   # SOURCE4_SOURCE5 39 1.7667
cf-ce-oh 88.551 121.690   # CORR_SOURCE5 37 1.2824
cg-ce-cg 68.393 116.520   # CORR_SOURCE5 35 1.1031
cg-ce-ha 48.557 116.460   # CORR_SOURCE5 58 0.6523
cg-ce-n1 87.835 119.500   # CORR 2
cg-ce-n2 87.851 121.140   # SOURCE4_SOURCE5 14 0.8974
c-ce-ha 47.000 116.460   # SOURCE3_SOURCE5 1028 1.3091
c-ce-n 83.338 118.450   # CORR_SOURCE5 213 1.4857
c-ce-nh 85.341 115.360   # CORR_SOURCE5 28 2.1980
c-ce-oh 86.196 115.760   # SOURCE4_SOURCE5 20 2.0254
c-ce-os 86.086 114.670   # SOURCE4_SOURCE5 47 2.1291
h4-ce-n1 64.863 116.640   # SOURCE4_SOURCE5 19 0.4343
h4-ce-n2 64.393 121.480   # CORR_SOURCE5 257 1.1842
h4-ce-ne 62.153 115.650   # SOURCE4_SOURCE5 19 1.8165
ha-ce-n1 65.106 115.960   # CORR 4
ha-ce-n2 64.979 119.510   # SOURCE3 2 0.4623
ha-ce-ne 61.414 118.590   # SOURCE3 5 1.1113
ha-ce-nh 62.516 114.990   # CORR 2
ha-ce-p2 52.606 120.110   # SOURCE3 1
ha-ce-pe 52.651 119.330   # SOURCE3 6 0.8966
ha-ce-px 52.873 117.900   # SOURCE3 6 0.1809
ha-ce-py 53.346 117.990   # SOURCE3_SOURCE5 11 0.7169
ha-ce-sx 41.698 115.450   # SOURCE3 3 0.6640
ha-ce-sy 42.578 114.860   # SOURCE3 3 0.4717
n2-ce-nh 110.010 125.090   # CORR_SOURCE5 163 1.6803
n2-ce-os 114.215 117.950   # SOURCE4_SOURCE5 19 0.3524
n2-ce-ss 81.512 117.230   # SOURCE4 6 2.0518
ne-ce-ne 106.467 123.870   # SOURCE3 1
ne-ce-nh 111.319 113.640   # SOURCE4_SOURCE5 41 1.4024
nf-ce-nh 112.342 119.270   # SOURCE4_SOURCE5 23 1.5487
pe-ce-pe 97.908 129.790   # SOURCE3 1
py-ce-py 108.039 108.060   # SOURCE3 1
sx-ce-sx 61.727 120.320   # SOURCE3 1
sy-ce-sy 62.867 119.970   # SOURCE3 1
c2-cf-c3 66.048 122.530   # SOURCE3_SOURCE5 875 1.9359
c2-cf-ca 67.362 121.780   # SOURCE3_SOURCE5 5 1.1712
c2-cf-cd 67.560 123.320   # CORR_SOURCE5 132 1.9068
c2-cf-cf 67.482 123.260   # SOURCE3_SOURCE5 779 1.8961
c2-cf-ch 68.647 122.090   # CORR_SOURCE5 54 1.3612
c2-cf-ha 50.126 119.940   # SOURCE3_SOURCE5 1393 1.4017
c2-cf-n2 88.228 128.700   # SOURCE3 1
c2-cf-nf 88.464 118.320   # SOURCE3 7
c2-cf-p2 81.422 118.240   # SOURCE3 1
c2-cf-pf 81.089 118.760   # SOURCE3 8
c2-cf-px 80.647 119.720   # SOURCE3 6
c2-cf-py 80.419 122.180   # SOURCE3_SOURCE5 7 1.0992
c2-cf-sx 63.052 119.210   # SOURCE3_SOURCE5 9 1.0588
c2-cf-sy 63.705 120.200   # SOURCE3_SOURCE5 12 1.7015
c3-cf-ca 64.468 119.240   # CORR_SOURCE5 312 1.7689
c3-cf-cd 65.251 118.030   # CORR_SOURCE5 77 1.5840
c3-cf-ce 66.005 122.380   # CORR_SOURCE5 490 2.0752
c3-cf-cf 65.435 117.120   # CORR_SOURCE5 524 1.4790
c3-cf-n2 83.846 122.730   # CORR_SOURCE5 149 1.8752
ca-cf-ca 65.741 117.830   # CORR_SOURCE5 210 0.9675
ca-cf-cc 64.611 130.880   # SOURCE4_SOURCE5 41 1.2386
ca-cf-cd 66.149 118.130   # CORR_SOURCE5 30 0.7112
ca-cf-ce 65.738 127.520   # CORR_SOURCE5 599 1.6916
ca-cf-ha 47.444 115.130   # CORR_SOURCE5 720 0.9389
ca-cf-n2 86.084 120.720   # SOURCE3 1
ca-cf-ne 85.534 121.710   # CORR_SOURCE5 49 2.1313
ca-cf-oh 86.291 116.100   # CORR_SOURCE5 15 0.6417
c-cf-c2 67.566 120.420   # SOURCE3 13
c-cf-c3 64.893 117.220   # CORR_SOURCE5 558 2.2754
c-cf-c 64.277 122.230   # CORR_SOURCE5 52 2.1518
c-cf-cc 67.092 120.770   # CORR_SOURCE5 15 1.8896
cc-cf-cf 66.791 124.350   # CORR_SOURCE5 18 1.4583
c-cf-cd 66.092 117.820   # SOURCE4_SOURCE5 29 1.0204
c-cf-ce 65.856 126.410   # SOURCE3 2
cc-cf-ha 50.638 114.950   # CORR_SOURCE5 95 1.4175
cd-cf-ce 66.704 126.140   # CORR_SOURCE5 122 1.8142
cd-cf-ha 48.006 115.440   # CORR_SOURCE5 179 0.9381
cd-cf-n2 86.868 120.960   # CORR_SOURCE5 102 2.2421
ce-cf-cf 67.119 124.240   # CORR_SOURCE5 866 1.6941
ce-cf-ch 68.252 123.130   # CORR_SOURCE5 115 2.1292
ce-cf-ha 50.352 118.220   # CORR_SOURCE5 1522 1.3445
ce-cf-n 91.197 108.390   # CORR_SOURCE5 86 1.0066
ce-cf-oh 88.551 121.690   # CORR_SOURCE5 37 1.2824
cf-cf-cf 65.416 122.110   # SOURCE3_SOURCE5 9 2.4680
cf-cf-h4 47.341 118.130   # CORR_SOURCE5 44 1.1161
cf-cf-ha 47.662 116.650   # SOURCE3_SOURCE5 1159 0.9686
cf-cf-n1 84.049 127.150   # CORR 4
cf-cf-n2 87.472 118.930   # CORR_SOURCE5 13 1.3210
c-cf-ha 47.000 116.460   # SOURCE3_SOURCE5 1028 1.3091
ch-cf-ch 68.393 116.520   # CORR_SOURCE5 35 1.1031
ch-cf-ha 48.557 116.460   # CORR_SOURCE5 58 0.6523
ch-cf-n1 87.835 119.500   # CORR 2
c-cf-n2 88.177 114.410   # SOURCE4_SOURCE5 13 1.4243
c-cf-n 83.338 118.450   # CORR_SOURCE5 213 1.4857
c-cf-nh 85.341 115.360   # CORR_SOURCE5 28 2.1980
f-c-f 123.826 107.350   # SOURCE2 2 0.2500
h4-cf-n2 64.393 121.480   # CORR_SOURCE5 257 1.1842
h4-cf-ne 64.320 120.560   # SOURCE4_SOURCE5 39 0.8435
ha-cf-n1 65.106 115.960   # CORR 4
ha-cf-n2 64.979 119.510   # SOURCE3 2
ha-cf-nf 61.414 118.590   # SOURCE3 5
ha-cf-nh 62.516 114.990   # CORR 2
ha-cf-p2 52.606 120.110   # SOURCE3 1
ha-cf-pf 52.651 119.330   # SOURCE3 6
ha-cf-px 52.873 117.900   # SOURCE3 6
ha-cf-py 53.346 117.990   # SOURCE3_SOURCE5 8 0.8708
ha-cf-sx 41.698 115.450   # SOURCE3 3
ha-cf-sy 42.578 114.860   # SOURCE3 3
n2-cf-nh 110.010 125.090   # CORR_SOURCE5 163 1.6803
nf-cf-nf 106.467 123.870   # SOURCE3 1
f-c-o 118.196 123.440   # SOURCE3 1
pf-cf-pf 97.908 129.790   # SOURCE3 1
py-cf-py 108.039 108.060   # SOURCE3 1
f-c-s 84.396 124.000   # SOURCE2 1
sx-cf-sx 61.727 120.320   # SOURCE3 1
sy-cf-sy 62.867 119.970   # SOURCE3 1
c1-cg-ca 58.572 179.570   # CORR_SOURCE5 38 0.4711
c1-cg-cc 58.934 178.610   # SOURCE4_SOURCE5 13 0.3677
c1-cg-ce 58.989 178.050   # CORR_SOURCE5 15 0.1905
c1-cg-cg 60.378 179.670   # CORR_SOURCE5 90 0.1487
c1-cg-ne 79.305 170.020   # SOURCE3 4 1.1724
c1-cg-pe 75.149 173.290   # SOURCE3 11 4.9305
ca-cg-ch 58.741 179.430   # CORR_SOURCE5 40 0.6103
ca-cg-n1 74.346 179.490   # CORR_SOURCE5 186 0.6659
c-cg-c1 58.113 179.140   # SOURCE3 2
cc-cg-n1 74.809 178.620   # CORR_SOURCE5 43 0.6454
ce-cg-ch 59.157 177.940   # CORR 17
ce-cg-n1 74.894 177.970   # CORR_SOURCE5 184 1.2220
n1-cg-ne 99.946 174.030   # CORR_SOURCE5 30 0.6173
h4-c-o 66.570 120.700   # SOURCE4_SOURCE5 491 0.4811
h5-c-n 63.496 112.160   # SOURCE4_SOURCE5 98 0.3632
h5-c-o 65.930 123.650   # SOURCE4_SOURCE5 150 0.7654
ha-c-ha 37.443 115.610   # SOURCE3 4 0.0458
ha-c-i 38.168 110.580   # SOURCE3 1
ha-c-n 63.490 112.370   # SOURCE3 4 0.6424
ha-c-o 66.484 121.940   # SOURCE3 51 2.3235
ha-c-oh 64.638 111.820   # SOURCE3 4 1.9375
ha-c-os 64.813 110.340   # SOURCE3 8 1.9344
ha-c-s 44.760 119.560   # SOURCE3 3 0.7586
c1-ch-ca 58.522 179.570   # CORR_SOURCE5 38 0.4711
c1-ch-cf 58.938 178.050   # CORR_SOURCE5 15 0.1905
c1-ch-ch 60.316 179.670   # CORR_SOURCE5 90 0.1487
c1-ch-nf 79.216 170.020   # SOURCE3 4
c1-ch-pf 75.117 173.290   # SOURCE3 11
ca-ch-cg 58.741 179.430   # CORR_SOURCE5 40 0.6103
ca-ch-n1 74.346 179.490   # CORR_SOURCE5 186 0.6659
c-ch-c1 58.066 179.140   # SOURCE3 2
cd-ch-n1 74.807 178.630   # CORR_SOURCE5 49 0.3708
cf-ch-cg 59.157 177.940   # CORR 17
cf-ch-n1 74.894 177.970   # CORR_SOURCE5 184 1.2220
cg-ch-ch 60.571 179.580   # SOURCE4_SOURCE5 55 0.2973
n1-ch-nf 99.946 174.030   # CORR_SOURCE5 30 0.6173
i-c-i 65.372 116.450   # SOURCE3 1
i-c-o 71.718 122.020   # SOURCE3 4 1.2961
f-cl-f 0.000 87.500   # SOURCE2 1
n2-c-n2 110.771 110.310   # SOURCE3 1
n2-c-o 111.836 122.500   # SOURCE3 1
n4-c-n4 99.803 114.640   # SOURCE3 1
n4-c-o 106.610 118.830   # SOURCE3 4 3.8516
nc-c-o 113.330 123.180   # CORR_SOURCE5 172 1.0508
nd-c-o 113.330 123.180   # CORR_SOURCE5 172 1.0508
ne-c-ne 113.088 110.310   # CORR 2
ne-c-o 111.914 125.810   # CORR_SOURCE5 65 1.1135
nf-c-nf 113.088 110.310   # CORR 2
nf-c-o 111.914 125.810   # CORR_SOURCE5 65 1.1135
n-c-n 112.428 113.560   # SOURCE4_SOURCE5 1747 1.4619
n-c-nc 110.397 117.110   # CORR_SOURCE5 131 0.7717
n-c-nd 110.397 117.110   # CORR_SOURCE5 131 0.7717
n-c-ne 113.600 110.260   # SOURCE4_SOURCE5 25 1.7043
n-c-o 113.811 123.050   # SOURCE3_SOURCE5 8454 1.5552
n-c-oh 113.913 112.820   # SOURCE4_SOURCE5 14 1.4518
no-c-no 102.620 109.280   # SOURCE3 1
no-c-o 104.115 125.360   # SOURCE3 1
n-c-os 115.486 109.220   # SOURCE4_SOURCE5 821 0.9352
n-c-s 82.398 124.050   # SOURCE3_SOURCE5 514 1.4099
n-c-sh 81.620 112.970   # SOURCE4_SOURCE5 26 1.1725
n-c-ss 82.496 110.290   # SOURCE4_SOURCE5 160 1.6051
oh-c-oh 116.271 110.560   # SOURCE3 2 0.5498
oh-c-s 83.019 123.440   # SOURCE3 1
o-c-o 118.817 130.250   # SOURCE4_SOURCE5 1037 1.2396
o-c-oh 115.745 122.100   # SOURCE3_SOURCE5 2859 0.8497
o-c-os 114.822 123.250   # SOURCE4_SOURCE5 5492 1.1411
o-c-p2 96.161 123.100   # SOURCE3 1
o-c-p3 97.971 120.790   # SOURCE3 1
o-c-p5 97.881 121.170   # SOURCE4_SOURCE5 18 1.1433
o-c-pe 95.623 123.020   # SOURCE3 3 0.1404
o-c-pf 95.623 123.020   # SOURCE3 3
o-c-px 97.552 119.100   # SOURCE3 1
o-c-py 98.325 122.010   # SOURCE4_SOURCE5 14 1.0132
o-c-s4 76.764 121.150   # SOURCE3 1
o-c-s6 77.308 119.450   # SOURCE3 1
o-c-s 85.589 120.440   # SOURCE3 2
o-c-sh 79.543 122.050   # SOURCE3_SOURCE5 10 1.1120
os-c-os 115.283 111.290   # SOURCE4_SOURCE5 32 0.8183
o-c-ss 79.009 123.320   # SOURCE3_SOURCE5 190 1.2053
os-c-s 82.392 125.010   # SOURCE4_SOURCE5 62 1.0980
os-c-ss 82.286 111.400   # SOURCE4_SOURCE5 23 1.7283
o-c-sx 76.145 121.150   # SOURCE3 5 3.6452
o-c-sy 77.559 119.320   # SOURCE3 5 2.4495
p2-c-p2 100.070 113.750   # SOURCE3 1
p3-c-p3 99.122 118.040   # SOURCE3 1
p3-c-py 113.947 90.080   # SOURCE3 1
p5-c-p5 96.866 123.760   # SOURCE3 1
ca-cp-ca 68.877 118.380   # CORR_SOURCE5 959 0.6763
ca-cp-cp 66.121 121.110   # CORR_SOURCE5 1631 1.6425
ca-cp-na 86.507 119.500   # SOURCE4_SOURCE5 59 0.7877
ca-cp-nb 87.071 121.620   # SOURCE4_SOURCE5 174 0.6998
cp-cp-cp 74.761 90.000   # SOURCE3 4
cp-cp-cq 64.283 124.270   # CORR_SOURCE5 8 2.0477
cp-cp-nb 86.053 116.610   # SOURCE4_SOURCE5 235 1.1595
pe-c-pe 99.485 113.770   # SOURCE3 1
pf-c-pf 99.485 113.770   # SOURCE3 1
nb-cp-nb 110.031 125.790   # SOURCE4_SOURCE5 11 0.6658
py-c-py 97.618 123.800   # SOURCE3 1
